Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2016-10-19 14:27:00	625.13	625.13	625.13	625.13	2.11	1316.46	625.13
2016-10-19 14:28:00	625.13	625.15	625.13	625.15	0.06	39.62	625.15
2016-10-19 14:29:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:30:00	624.68	624.68	624.68	624.68	1.39	867.17	624.68
2016-10-19 14:31:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:32:00	625.15	625.15	625.15	625.15	0.54	339.66	625.15
2016-10-19 14:33:00	624.76	625	624.76	624.79	2.83	1768.26	624.83
2016-10-19 14:34:00	624.81	624.82	624.52	624.52	1.47	919.25	624.78
2016-10-19 14:35:00	624.56	625	624.56	625	4.75	2967.81	624.88
2016-10-19 14:36:00	624.89	625.15	624.88	625.15	4.52	2824.13	625.04
2016-10-19 14:37:00	625.28	625.28	625.28	625.28	0.06	40.11	625.28
2016-10-19 14:38:00	625.58	625.58	625.58	625.58	0.16	102.56	625.58
2016-10-19 14:39:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:40:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:41:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:42:00	625.68	625.68	625.68	625.68	0.02	15.38	625.68
2016-10-19 14:43:00	625.9	625.9	625.9	625.9	0.21	132.98	625.9
2016-10-19 14:44:00	625.9	626.57	625.9	626.57	1.03	647.72	626.36
2016-10-19 14:45:00	625.7	626.57	625.7	625.7	1.68	1052.42	625.71
2016-10-19 14:46:00	626.55	626.55	626.55	626.55	0.01	6.27	626.55
2016-10-19 14:47:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:48:00	625.73	625.73	625.73	625.73	0.1	62.57	625.73
2016-10-19 14:49:00	626.51	626.51	626.51	626.51	0.13	80.11	626.51
2016-10-19 14:50:00	626.54	626.54	626.52	626.52	0.04	25.44	626.53
2016-10-19 14:51:00	626.55	626.57	626.55	626.57	1.85	1160.55	626.56
2016-10-19 14:52:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:53:00	625.73	625.73	625.71	625.73	4.57	2861.03	625.73
2016-10-19 14:54:00	625.71	625.73	625.71	625.73	0.08	51.4	625.72
2016-10-19 14:55:00	625.73	625.73	625.73	625.73	3.12	1952.68	625.73
2016-10-19 14:56:00	626.95	626.95	626.95	626.95	0.06	40.06	626.95
2016-10-19 14:57:00	625.93	625.93	625.93	625.93	0.16	98.65	625.93
2016-10-19 14:58:00	627.08	627.08	627.03	627.03	0.12	75.79	627.04
